STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,IND,Variable,SEC,ISIC4,SCL,Size Class,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),642,Activities of holding companies,TOTAL,Total,2015,,0,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),642,Activities of holding companies,TOTAL,Total,2017,,0,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),642,Activities of holding companies,TOTAL,Total,2011,,0,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),64_66_LESS_642,Financial and insurance activities except activities of holding companies,TOTAL,Total,2011,,1826,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2013,,108318,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2013,,156923,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),64_66_LESS_642,Financial and insurance activities except activities of holding companies,TOTAL,Total,2012,,1348,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),64_66_LESS_642,Financial and insurance activities except activities of holding companies,TOTAL,Total,2019,,1911,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),45_82_LESS_642,Services of the business economy except activities of holding companies,TOTAL,Total,2014,,74379,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),45_82_LESS_642,Services of the business economy except activities of holding companies,TOTAL,Total,2015,,146835,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_R_EMPL,Death rate of employer enterprises,45_82_LESS_642,Services of the business economy except activities of holding companies,TOTAL,Total,2011,,12.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_R_EMPL,Birth rate of employer enterprises,64_66_LESS_642,Financial and insurance activities except activities of holding companies,TOTAL,Total,2012,,18.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_R_EMPL,Birth rate of employer enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2014,,16.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_R_EMPL,Death rate of employer enterprises,45_82_LESS_642,Services of the business economy except activities of holding companies,TOTAL,Total,2019,,11.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_R_EMPL,Birth rate of employer enterprises,64_66_LESS_642,Financial and insurance activities except activities of holding companies,TOTAL,Total,2020,,14.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_R_EMPL,Death rate of employer enterprises,64_66_LESS_642,Financial and insurance activities except activities of holding companies,TOTAL,Total,2017,,8.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_R_EMPL,Death rate of employer enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2018,,10.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_R_EMPL,Birth rate of employer enterprises,45_82_LESS_642,Services of the business economy except activities of holding companies,TOTAL,Total,2016,,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),68,Real estate activities,TOTAL,Total,2020,,18471,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),41_43,Construction,TOTAL,Total,2020,,16551,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),68,Real estate activities,TOTAL,Total,2011,,5504,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),05_82,Business economy,TOTAL,Total,2011,,132830,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),49_53,Transportation and storage,TOTAL,Total,2013,,2505,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),45_47,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,2013,,36675,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),05_82,Business economy,TOTAL,Total,2013,,108318,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),05_39,Industry (except construction),TOTAL,Total,2013,,34578,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,D_EMPL,Number of deaths (employer enterprises),68,Real estate activities,TOTAL,Total,2019,,8353,,A,,NBR,Number,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,KOR,Korea,B_EMPL,Number of births (employer enterprises),05_82,Business economy,TOTAL,Total,2019,,209476,,A,,NBR,Number,0,Units,,
