STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,IND,Variable,SEC,ISIC4,SCL,Size Class,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,DEU,Germany,B_R_EMPL,Birth rate of employer enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2013,,6.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,GBR,United Kingdom,B_R,Birth rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2011,,11.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,DEU,Germany,D_R,Death rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2018,,8.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,DEU,Germany,B_R,Birth rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2008,,9.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,DEU,Germany,D_R,Death rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2016,,7.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,DEU,Germany,B_R,Birth rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2014,,7.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,GBR,United Kingdom,B_R,Birth rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2017,,13.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,GBR,United Kingdom,B_R,Birth rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2009,,10.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,GBR,United Kingdom,D_R,Death rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2010,,11.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_SDBS_BDI_ISIC4(1.0),SDBS Business Demography Indicators (ISIC Rev. 4),I,DEU,Germany,D_R,Death rate of all enterprises,05_82_LESS_642,"Total industry, construction and market services  except holding companies",TOTAL,Total,2015,,7.8,,A,,PC,Percentage,0,Units,,
